teams,value
9092,"{27: 0.204, 28: 0.183, 26: 0.177, 29: 0.113, 25: 0.078, 30: 0.047, 41: 0.042, 40: 0.037, 24: 0.027, 42: 0.018, 39: 0.017, 31: 0.016, 43: 0.008, 23: 0.008, 22: 0.006, 38: 0.006, 32: 0.005, 44: 0.004, 37: 0.002, 36: 0.001, 35: 0.001}"
5576,"{27: 0.142, 25: 0.101, 26: 0.1, 28: 0.09, 22: 0.07, 29: 0.053, 21: 0.052, 40: 0.04, 24: 0.038, 41: 0.037, 30: 0.033, 37: 0.031, 38: 0.029, 23: 0.028, 20: 0.025, 39: 0.023, 19: 0.02, 42: 0.017, 31: 0.013, 18: 0.012, 32: 0.011, 49: 0.009, 36: 0.005, 43: 0.003, 48: 0.003, 17: 0.003, 33: 0.003, 16: 0.002, 44: 0.002, 15: 0.002, 47: 0.001, 45: 0.001, 50: 0.001}"
5914,"{28: 0.194, 27: 0.153, 29: 0.145, 30: 0.08, 41: 0.062, 42: 0.055, 26: 0.046, 22: 0.04, 40: 0.037, 31: 0.028, 21: 0.026, 20: 0.023, 19: 0.018, 43: 0.017, 23: 0.016, 39: 0.013, 18: 0.011, 24: 0.007, 25: 0.006, 32: 0.006, 44: 0.005, 17: 0.005, 33: 0.003, 38: 0.002, 16: 0.002}"
525,"{30: 0.165, 31: 0.157, 29: 0.15, 23: 0.101, 28: 0.094, 32: 0.078, 24: 0.043, 22: 0.039, 33: 0.036, 27: 0.031, 34: 0.02, 36: 0.014, 25: 0.013, 21: 0.011, 35: 0.01, 37: 0.009, 26: 0.008, 20: 0.005, 17: 0.004, 18: 0.004, 38: 0.003, 13: 0.002, 16: 0.002, 19: 0.001}"
11210,"{32: 0.251, 31: 0.225, 33: 0.128, 30: 0.094, 34: 0.053, 23: 0.051, 22: 0.035, 24: 0.035, 29: 0.031, 35: 0.019, 21: 0.019, 36: 0.013, 25: 0.013, 26: 0.012, 20: 0.01, 19: 0.004, 28: 0.003, 27: 0.003, 18: 0.001}"
4260,"{33: 0.299, 32: 0.258, 34: 0.142, 31: 0.112, 35: 0.043, 30: 0.028, 24: 0.021, 42: 0.016, 41: 0.014, 23: 0.012, 36: 0.009, 43: 0.009, 25: 0.007, 44: 0.005, 37: 0.004, 40: 0.004, 22: 0.003, 26: 0.003, 45: 0.003, 27: 0.003, 28: 0.002, 29: 0.002, 38: 0.001}"
5935,"{33: 0.226, 34: 0.209, 32: 0.107, 24: 0.095, 23: 0.078, 35: 0.067, 25: 0.065, 22: 0.038, 31: 0.025, 26: 0.019, 36: 0.015, 27: 0.014, 21: 0.009, 17: 0.008, 16: 0.007, 18: 0.004, 19: 0.003, 15: 0.003, 37: 0.002, 14: 0.002, 20: 0.002, 28: 0.001, 30: 0.001}"
648,"{35: 0.249, 36: 0.183, 34: 0.15, 42: 0.086, 43: 0.065, 41: 0.065, 37: 0.062, 33: 0.045, 44: 0.034, 45: 0.018, 38: 0.014, 32: 0.009, 40: 0.008, 46: 0.006, 39: 0.003, 31: 0.002, 27: 0.001}"
5141,"{35: 0.156, 34: 0.144, 33: 0.09, 41: 0.082, 42: 0.063, 40: 0.054, 28: 0.047, 30: 0.045, 36: 0.044, 29: 0.04, 43: 0.031, 22: 0.029, 32: 0.029, 39: 0.021, 25: 0.017, 27: 0.016, 23: 0.016, 21: 0.014, 31: 0.013, 24: 0.012, 20: 0.01, 37: 0.01, 44: 0.008, 26: 0.005, 38: 0.002, 19: 0.002}"
3055,"{36: 0.311, 37: 0.2, 35: 0.195, 34: 0.065, 38: 0.052, 26: 0.038, 25: 0.037, 24: 0.022, 23: 0.016, 28: 0.013, 27: 0.013, 33: 0.01, 30: 0.01, 39: 0.007, 31: 0.005, 29: 0.002, 40: 0.001, 22: 0.001, 21: 0.001, 20: 0.001}"
8822,"{37: 0.194, 38: 0.133, 36: 0.125, 46: 0.076, 39: 0.074, 26: 0.066, 27: 0.056, 35: 0.049, 25: 0.039, 28: 0.038, 45: 0.029, 47: 0.022, 40: 0.017, 44: 0.015, 23: 0.013, 24: 0.011, 29: 0.009, 30: 0.008, 34: 0.006, 32: 0.005, 31: 0.004, 48: 0.002, 43: 0.002, 41: 0.002, 21: 0.002, 42: 0.001, 20: 0.001, 22: 0.001}"
8737,"{38: 0.213, 37: 0.204, 39: 0.115, 36: 0.084, 28: 0.058, 26: 0.047, 27: 0.042, 40: 0.042, 25: 0.036, 35: 0.035, 29: 0.025, 34: 0.018, 24: 0.017, 30: 0.013, 23: 0.013, 41: 0.008, 21: 0.007, 22: 0.006, 20: 0.006, 42: 0.003, 19: 0.003, 31: 0.002, 17: 0.002, 33: 0.001}"
8770,"{38: 0.182, 39: 0.173, 40: 0.09, 37: 0.074, 35: 0.069, 36: 0.062, 47: 0.053, 34: 0.043, 41: 0.036, 48: 0.031, 27: 0.024, 26: 0.023, 49: 0.02, 28: 0.018, 25: 0.016, 29: 0.012, 30: 0.011, 33: 0.011, 24: 0.008, 43: 0.007, 22: 0.007, 42: 0.006, 45: 0.006, 44: 0.005, 23: 0.004, 46: 0.003, 31: 0.003, 32: 0.001, 21: 0.001, 20: 0.001}"
6420,"{40: 0.226, 39: 0.199, 38: 0.107, 47: 0.103, 41: 0.103, 48: 0.088, 49: 0.058, 42: 0.033, 37: 0.027, 46: 0.017, 43: 0.009, 29: 0.009, 50: 0.006, 31: 0.005, 45: 0.002, 30: 0.002, 23: 0.001, 32: 0.001, 36: 0.001, 28: 0.001, 27: 0.001, 26: 0.001}"
9570,"{40: 0.161, 41: 0.145, 29: 0.132, 30: 0.108, 39: 0.106, 28: 0.069, 31: 0.049, 42: 0.044, 38: 0.033, 27: 0.024, 26: 0.021, 32: 0.012, 47: 0.012, 49: 0.01, 37: 0.01, 21: 0.009, 48: 0.007, 43: 0.007, 25: 0.006, 46: 0.006, 24: 0.006, 20: 0.005, 33: 0.003, 19: 0.003, 34: 0.003, 36: 0.003, 22: 0.003, 18: 0.001, 17: 0.001, 23: 0.001}"
9061,"{41: 0.163, 31: 0.161, 30: 0.135, 32: 0.103, 42: 0.097, 40: 0.071, 33: 0.057, 29: 0.054, 43: 0.053, 44: 0.023, 39: 0.02, 34: 0.018, 28: 0.013, 23: 0.006, 27: 0.006, 45: 0.005, 35: 0.003, 25: 0.003, 24: 0.002, 26: 0.002, 38: 0.001, 21: 0.001, 36: 0.001, 22: 0.001, 37: 0.001}"
6455,"{42: 0.279, 43: 0.226, 44: 0.15, 37: 0.061, 41: 0.054, 45: 0.049, 36: 0.048, 38: 0.047, 46: 0.014, 30: 0.014, 39: 0.012, 35: 0.011, 40: 0.009, 31: 0.007, 28: 0.006, 32: 0.005, 29: 0.004, 47: 0.002, 34: 0.002}"
6805,"{44: 0.308, 45: 0.212, 43: 0.164, 46: 0.069, 42: 0.038, 37: 0.032, 38: 0.031, 36: 0.023, 35: 0.021, 34: 0.018, 33: 0.012, 39: 0.011, 29: 0.008, 32: 0.007, 30: 0.007, 41: 0.006, 47: 0.006, 28: 0.005, 40: 0.004, 23: 0.004, 31: 0.004, 22: 0.003, 48: 0.002, 25: 0.002, 27: 0.002, 19: 0.001}"
1997,"{44: 0.305, 43: 0.266, 45: 0.15, 42: 0.057, 46: 0.043, 36: 0.024, 37: 0.022, 41: 0.017, 39: 0.015, 35: 0.013, 30: 0.013, 38: 0.013, 32: 0.011, 31: 0.011, 40: 0.009, 33: 0.008, 47: 0.008, 34: 0.007, 29: 0.005, 27: 0.002, 28: 0.001}"
7531,"{45: 0.313, 46: 0.21, 51: 0.115, 47: 0.111, 50: 0.097, 44: 0.048, 48: 0.032, 42: 0.021, 43: 0.018, 49: 0.015, 52: 0.011, 40: 0.005, 41: 0.004}"
5557,"{46: 0.305, 47: 0.234, 48: 0.1, 39: 0.093, 38: 0.083, 45: 0.044, 40: 0.041, 37: 0.033, 49: 0.029, 41: 0.012, 36: 0.007, 44: 0.004, 31: 0.003, 42: 0.003, 32: 0.003, 34: 0.002, 50: 0.002, 35: 0.001, 33: 0.001}"
11241,"{47: 0.379, 48: 0.266, 46: 0.158, 49: 0.093, 50: 0.027, 45: 0.021, 38: 0.017, 39: 0.015, 40: 0.01, 41: 0.005, 51: 0.002, 37: 0.002, 33: 0.002, 34: 0.001, 44: 0.001, 36: 0.001}"
9579,"{48: 0.365, 49: 0.214, 40: 0.115, 41: 0.095, 39: 0.058, 42: 0.049, 50: 0.023, 30: 0.014, 47: 0.012, 29: 0.012, 38: 0.011, 43: 0.011, 28: 0.007, 31: 0.005, 32: 0.005, 34: 0.001, 33: 0.001, 37: 0.001, 27: 0.001}"
8766,"{49: 0.417, 50: 0.143, 52: 0.11, 42: 0.073, 51: 0.068, 48: 0.057, 43: 0.037, 41: 0.028, 53: 0.023, 45: 0.016, 44: 0.008, 47: 0.006, 40: 0.005, 46: 0.004, 39: 0.004, 38: 0.001}"
5041,"{50: 0.459, 51: 0.131, 45: 0.105, 46: 0.073, 49: 0.072, 43: 0.037, 47: 0.036, 44: 0.025, 42: 0.023, 48: 0.008, 39: 0.008, 41: 0.004, 37: 0.003, 36: 0.003, 52: 0.002, 40: 0.002, 38: 0.002, 30: 0.002, 32: 0.001, 31: 0.001, 33: 0.001, 27: 0.001, 35: 0.001}"
5275,"{51: 0.443, 52: 0.168, 50: 0.156, 49: 0.053, 48: 0.037, 53: 0.032, 44: 0.026, 43: 0.018, 47: 0.012, 42: 0.009, 45: 0.007, 41: 0.007, 46: 0.007, 39: 0.006, 40: 0.005, 38: 0.003, 33: 0.002, 31: 0.002, 35: 0.002, 36: 0.002, 30: 0.001, 37: 0.001, 32: 0.001}"
7038,"{52: 0.488, 53: 0.317, 51: 0.13, 50: 0.057, 49: 0.007, 47: 0.001}"
8821,"{53: 0.628, 52: 0.221, 51: 0.111, 50: 0.029, 49: 0.003, 47: 0.002, 46: 0.002, 48: 0.002, 41: 0.001, 45: 0.001}"
