Team Number,Match Number,Auton Balls Scored,Auton Balls Passed,Teleop Balls Scored,Teleop Balls Passed,Auton Climb,Endgame Climb,Alliance,TeamMatch#,ConcatTeamMatchNum,ConcatMatchTeam,Total Fuel,Total Pass,Auto Climb,Endgame Climb Level,Level 1,Level 2,Level 3,Auto Climb Points,Endgame Climb Points,Climb Points,Points
525,27,7.00,0.00,61.00,0.00,None,None,red,3.00,"525,27","qm27,525",68.00,0.00,0,0,0,0,0,0,0,0,68.00
525,38,0.00,0.00,0.00,0.00,None,None,blue,4.00,"525,38","qm38,525",0.00,0.00,0,0,0,0,0,0,0,0,0.00
525,46,0.00,0.00,34.50,0.00,None,None,blue,5.00,"525,46","qm46,525",34.50,0.00,0,0,0,0,0,0,0,0,34.50
648,1,10.00,0.00,8.00,0.00,None,None,FALSE,,"525,1","qm1,525",18.00,0.00,0,0,0,0,0,0,0,0,18.00
648,13,0.00,0.00,1.50,19.00,None,None,blue,2.00,"648,13","qm13,648",1.50,19.00,0,0,0,0,0,0,0,0,1.50
648,20,0.00,0.00,0.00,0.00,None,None,blue,3.00,"648,20","qm20,648",0.00,0.00,0,0,0,0,0,0,0,0,0.00
648,33,0.00,0.00,5.00,0.00,None,None,blue,4.00,"648,33","qm33,648",5.00,0.00,0,0,0,0,0,0,0,0,5.00
648,43,0.00,0.00,5.00,0.00,None,None,red,5.00,"648,43","qm43,648",5.00,0.00,0,0,0,0,0,0,0,0,5.00
648,48,4.50,0.00,36.00,0.00,None,None,blue,6.00,"648,48","qm48,648",40.50,0.00,0,0,0,0,0,0,0,0,40.50
967,3,0.00,32.00,44.00,46.00,None,None,FALSE,,"648,3","qm3,648",44.00,78.00,0,0,0,0,0,0,0,0,44.00
967,9,0.00,26.50,114.00,78.50,,,blue,2.00,"967,9","qm9,967",114.00,105.00,0,0,0,0,0,0,0,0,114.00
967,20,5.50,7.50,82.00,39.00,None,None,blue,3.00,"967,20","qm20,967",87.50,46.50,0,0,0,0,0,0,0,0,87.50
967,34,3.50,15.00,36.50,27.00,None,None,blue,4.00,"967,34","qm34,967",40.00,42.00,0,0,0,0,0,0,0,0,40.00
967,46,12.00,20.00,125.00,81.00,None,None,blue,5.00,"967,46","qm46,967",137.00,101.00,0,0,0,0,0,0,0,0,137.00
1108,4,11.00,0.00,52.50,0.00,None,None,FALSE,,"967,4","qm4,967",63.50,0.00,0,0,0,0,0,0,0,0,63.50
1108,10,27.50,0.00,7.00,15.00,None,None,blue,2.00,"1108,10","qm10,1108",34.50,15.00,0,0,0,0,0,0,0,0,34.50
1108,19,16.00,0.00,70.00,20.00,None,None,blue,3.00,"1108,19","qm19,1108",86.00,20.00,0,0,0,0,0,0,0,0,86.00
1108,30,20.00,0.00,89.50,14.00,None,None,red,4.00,"1108,30","qm30,1108",109.50,14.00,0,0,0,0,0,0,0,0,109.50
1108,36,20.00,0.00,85.50,0.00,None,None,blue,5.00,"1108,36","qm36,1108",105.50,0.00,0,0,0,0,0,0,0,0,105.50
1997,7,0.00,0.00,9.00,0.00,,,FALSE,,"1108,7","qm7,1108",9.00,0.00,0,0,0,0,0,0,0,0,9.00
1997,12,0.00,0.00,0.00,0.00,None,None,blue,2.00,"1997,12","qm12,1997",0.00,0.00,0,0,0,0,0,0,0,0,0.00
1997,24,0.00,0.00,0.00,15.00,None,None,blue,3.00,"1997,24","qm24,1997",0.00,15.00,0,0,0,0,0,0,0,0,0.00
1997,34,5.00,0.00,15.00,0.00,None,None,red,4.00,"1997,34","qm34,1997",20.00,0.00,0,0,0,0,0,0,0,0,20.00
1997,43,6.00,0.00,0.00,0.00,None,None,red,5.00,"1997,43","qm43,1997",6.00,0.00,0,0,0,0,0,0,0,0,6.00
1997,51,5.00,0.00,10.00,0.00,None,None,red,6.00,"1997,51","qm51,1997",15.00,0.00,0,0,0,0,0,0,0,0,15.00
2227,9,6.00,0.00,13.50,0.00,,,FALSE,,"1997,9","qm9,1997",19.50,0.00,0,0,0,0,0,0,0,0,19.50
2227,16,7.00,0.00,43.00,0.00,None,None,red,2.00,"2227,16","qm16,2227",50.00,0.00,0,0,0,0,0,0,0,0,50.00
2227,26,10.00,0.00,46.00,0.00,None,None,red,3.00,"2227,26","qm26,2227",56.00,0.00,0,0,0,0,0,0,0,0,56.00
2227,33,1.00,0.00,44.00,0.00,None,None,blue,4.00,"2227,33","qm33,2227",45.00,0.00,0,0,0,0,0,0,0,0,45.00
2227,41,5.00,0.00,35.00,5.00,None,None,blue,5.00,"2227,41","qm41,2227",40.00,5.00,0,0,0,0,0,0,0,0,40.00
2654,5,5.00,0.00,87.00,0.00,None,None,FALSE,,"2227,5","qm5,2227",92.00,0.00,0,0,0,0,0,0,0,0,92.00
2654,13,21.00,0.00,82.00,20.00,None,None,red,2.00,"2654,13","qm13,2654",103.00,20.00,0,0,0,0,0,0,0,0,103.00
2654,25,20.00,0.00,92.50,3.00,None,None,blue,3.00,"2654,25","qm25,2654",112.50,3.00,0,0,0,0,0,0,0,0,112.50
2654,34,15.00,0.00,96.00,0.00,None,None,blue,4.00,"2654,34","qm34,2654",111.00,0.00,0,0,0,0,0,0,0,0,111.00
2654,40,21.50,0.00,87.00,0.00,None,Level1,red,5.00,"2654,40","qm40,2654",108.50,0.00,0,1,1,0,0,0,10,10,118.50
2847,3,37.50,0.00,165.00,0.00,None,None,FALSE,,"2654,3","qm3,2654",202.50,0.00,0,0,0,0,0,0,0,0,202.50
2847,12,0.00,0.00,182.50,0.00,None,None,red,2.00,"2847,12","qm12,2847",182.50,0.00,0,0,0,0,0,0,0,0,182.50
2847,27,0.00,0.00,142.50,10.00,None,None,red,3.00,"2847,27","qm27,2847",142.50,10.00,0,0,0,0,0,0,0,0,142.50
2847,36,46.50,0.00,84.00,47.50,None,None,red,4.00,"2847,36","qm36,2847",130.50,47.50,0,0,0,0,0,0,0,0,130.50
2847,44,15.00,0.00,140.00,0.00,None,None,blue,5.00,"2847,44","qm44,2847",155.00,0.00,0,0,0,0,0,0,0,0,155.00
3055,2,0.00,0.00,0.00,0.00,None,None,FALSE,,"2847,2","qm2,2847",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3055,17,0.00,0.00,0.00,0.00,None,None,red,2.00,"3055,17","qm17,3055",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3055,22,0.00,0.00,0.00,0.00,None,None,red,3.00,"3055,22","qm22,3055",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3055,29,0.00,0.00,0.00,0.00,None,None,red,4.00,"3055,29","qm29,3055",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3055,42,0.00,0.00,5.50,0.00,None,None,blue,5.00,"3055,42","qm42,3055",5.50,0.00,0,0,0,0,0,0,0,0,5.50
3055,48,0.00,0.00,10.00,0.00,None,None,red,6.00,"3055,48","qm48,3055",10.00,0.00,0,0,0,0,0,0,0,0,10.00
3267,6,10.33,0.00,39.00,0.00,,,FALSE,,"3055,6","qm6,3055",49.33,0.00,0,0,0,0,0,0,0,0,49.33
3267,11,11.00,0.00,96.00,5.00,None,Level1,red,2.00,"3267,11","qm11,3267",107.00,5.00,0,1,1,0,0,0,10,10,117.00
3267,25,8.00,0.00,74.00,11.00,None,None,blue,3.00,"3267,25","qm25,3267",82.00,11.00,0,0,0,0,0,0,0,0,82.00
3267,35,6.50,0.00,58.50,1.00,Level1,None,red,4.00,"3267,35","qm35,3267",65.00,1.00,1,0,0,0,0,15,0,15,80.00
3267,45,8.00,0.00,45.00,0.00,None,None,red,5.00,"3267,45","qm45,3267",53.00,0.00,0,0,0,0,0,0,0,0,53.00
3298,4,0.00,0.00,0.00,0.00,None,None,FALSE,,"3267,4","qm4,3267",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3298,13,0.00,0.00,0.00,0.00,None,None,red,2.00,"3298,13","qm13,3298",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3298,26,0.00,0.00,0.00,0.00,None,None,red,3.00,"3298,26","qm26,3298",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3298,32,0.00,0.00,0.00,0.00,None,None,blue,4.00,"3298,32","qm32,3298",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3298,44,0.00,0.00,0.00,0.00,None,None,red,5.00,"3298,44","qm44,3298",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3298,51,0.00,0.00,0.00,0.00,None,None,red,6.00,"3298,51","qm51,3298",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3723,1,0.50,0.00,3.50,0.00,None,None,FALSE,,"3298,1","qm1,3298",4.00,0.00,0,0,0,0,0,0,0,0,4.00
3723,17,2.50,0.00,-0.50,3.50,None,None,blue,2.00,"3723,17","qm17,3723",2.00,3.50,0,0,0,0,0,0,0,0,2.00
3723,23,0.00,0.00,0.00,0.00,None,None,blue,3.00,"3723,23","qm23,3723",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3723,31,0.00,0.00,0.00,0.00,None,None,blue,4.00,"3723,31","qm31,3723",0.00,0.00,0,0,0,0,0,0,0,0,0.00
3723,37,5.00,0.00,0.00,0.00,None,None,blue,5.00,"3723,37","qm37,3723",5.00,0.00,0,0,0,0,0,0,0,0,5.00
3723,46,3.00,0.00,-1.00,5.00,None,None,blue,6.00,"3723,46","qm46,3723",2.00,5.00,0,0,0,0,0,0,0,0,2.00
3928,5,35.00,0.00,197.50,0.00,None,None,FALSE,,"3723,5","qm5,3723",232.50,0.00,0,0,0,0,0,0,0,0,232.50
3928,10,28.33,0.00,121.67,0.00,None,None,red,2.00,"3928,10","qm10,3928",150.00,0.00,0,0,0,0,0,0,0,0,150.00
3928,20,50.00,0.00,0.00,10.00,None,None,blue,3.00,"3928,20","qm20,3928",50.00,10.00,0,0,0,0,0,0,0,0,50.00
3928,31,61.50,0.00,97.50,0.00,None,None,red,4.00,"3928,31","qm31,3928",159.00,0.00,0,0,0,0,0,0,0,0,159.00
3928,37,21.00,0.00,178.00,0.00,None,None,blue,5.00,"3928,37","qm37,3928",199.00,0.00,0,0,0,0,0,0,0,0,199.00
3928,51,0.00,10.00,80.00,0.00,None,None,blue,6.00,"3928,51","qm51,3928",80.00,10.00,0,0,0,0,0,0,0,0,80.00
4260,3,2.00,0.00,7.50,5.50,None,None,FALSE,,"3928,3","qm3,3928",9.50,5.50,0,0,0,0,0,0,0,0,9.50
4260,11,7.00,0.00,25.00,0.00,None,None,blue,2.00,"4260,11","qm11,4260",32.00,0.00,0,0,0,0,0,0,0,0,32.00
4260,24,0.00,0.00,0.00,0.00,None,None,blue,3.00,"4260,24","qm24,4260",0.00,0.00,0,0,0,0,0,0,0,0,0.00
4260,33,,,,,None,None,red,4.00,"4260,33","qm33,4260",0.00,0.00,0,0,0,0,0,0,0,0,0.00
4260,44,5.33,0.00,0.33,0.00,None,None,blue,5.00,"4260,44","qm44,4260",5.67,0.00,0,0,0,0,0,0,0,0,5.67
4260,50,0.00,0.00,0.00,0.00,None,None,red,6.00,"4260,50","qm50,4260",0.00,0.00,0,0,0,0,0,0,0,0,0.00
4646,8,0.00,0.00,87.50,4.75,,,FALSE,,"4260,8","qm8,4260",87.50,4.75,0,0,0,0,0,0,0,0,87.50
4646,15,8.00,0.00,122.00,31.00,None,None,red,2.00,"4646,15","qm15,4646",130.00,31.00,0,0,0,0,0,0,0,0,130.00
4646,22,0.00,74.00,223.00,0.00,None,None,red,3.00,"4646,22","qm22,4646",223.00,74.00,0,0,0,0,0,0,0,0,223.00
4646,32,31.00,0.00,75.00,35.00,None,None,red,4.00,"4646,32","qm32,4646",106.00,35.00,0,0,0,0,0,0,0,0,106.00
4646,43,36.00,0.00,178.50,47.50,None,None,blue,5.00,"4646,43","qm43,4646",214.50,47.50,0,0,0,0,0,0,0,0,214.50
4646,51,63.00,0.00,198.00,0.00,None,None,red,6.00,"4646,51","qm51,4646",261.00,0.00,0,0,0,0,0,0,0,0,261.00
4728,6,2.50,0.00,170.50,0.00,,,FALSE,,"4646,6","qm6,4646",173.00,0.00,0,0,0,0,0,0,0,0,173.00
4728,14,39.00,0.00,149.00,0.00,None,None,red,2.00,"4728,14","qm14,4728",188.00,0.00,0,0,0,0,0,0,0,0,188.00
4728,20,0.00,0.00,125.00,0.00,None,None,red,3.00,"4728,20","qm20,4728",125.00,0.00,0,0,0,0,0,0,0,0,125.00
4728,28,31.00,0.00,215.00,0.00,None,None,blue,4.00,"4728,28","qm28,4728",246.00,0.00,0,0,0,0,0,0,0,0,246.00
4728,39,8.00,0.00,78.00,0.00,None,None,blue,5.00,"4728,39","qm39,4728",86.00,0.00,0,0,0,0,0,0,0,0,86.00
4728,49,33.00,0.00,168.00,10.00,None,None,red,6.00,"4728,49","qm49,4728",201.00,10.00,0,0,0,0,0,0,0,0,201.00
5041,2,4.50,0.00,51.50,0.00,None,None,FALSE,,"4728,2","qm2,4728",56.00,0.00,0,0,0,0,0,0,0,0,56.00
5041,15,1.00,0.00,0.00,0.00,None,None,blue,2.00,"5041,15","qm15,5041",1.00,0.00,0,0,0,0,0,0,0,0,1.00
5041,21,0.00,0.00,0.00,0.00,None,None,red,3.00,"5041,21","qm21,5041",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5041,33,2.50,0.00,44.50,15.50,None,None,blue,4.00,"5041,33","qm33,5041",47.00,15.50,0,0,0,0,0,0,0,0,47.00
5041,39,3.00,0.00,22.00,0.00,None,None,blue,5.00,"5041,39","qm39,5041",25.00,0.00,0,0,0,0,0,0,0,0,25.00
5141,7,1.00,0.00,1.00,7.00,,,FALSE,,"5041,7","qm7,5041",2.00,7.00,0,0,0,0,0,0,0,0,2.00
5141,14,0.00,0.00,0.00,34.00,None,None,red,2.00,"5141,14","qm14,5141",0.00,34.00,0,0,0,0,0,0,0,0,0.00
5141,31,0.00,0.00,1.50,27.50,None,None,blue,3.00,"5141,31","qm31,5141",1.50,27.50,0,0,0,0,0,0,0,0,1.50
5141,41,2.00,0.00,2.00,0.00,None,None,red,4.00,"5141,41","qm41,5141",4.00,0.00,0,0,0,0,0,0,0,0,4.00
5141,48,2.00,0.00,2.00,0.00,None,None,red,5.00,"5141,48","qm48,5141",4.00,0.00,0,0,0,0,0,0,0,0,4.00
5275,9,3.00,0.00,8.00,0.00,,,FALSE,,"5141,9","qm9,5141",11.00,0.00,0,0,0,0,0,0,0,0,11.00
5275,17,5.00,0.00,6.00,0.00,None,None,red,2.00,"5275,17","qm17,5275",11.00,0.00,0,0,0,0,0,0,0,0,11.00
5275,22,2.00,0.00,0.00,0.00,None,None,blue,3.00,"5275,22","qm22,5275",2.00,0.00,0,0,0,0,0,0,0,0,2.00
5275,28,3.50,0.00,0.00,0.00,None,None,red,4.00,"5275,28","qm28,5275",3.50,0.00,0,0,0,0,0,0,0,0,3.50
5275,38,5.00,0.00,8.00,4.00,None,None,blue,5.00,"5275,38","qm38,5275",13.00,4.00,0,0,0,0,0,0,0,0,13.00
5442,3,17.50,0.00,22.50,0.00,None,None,FALSE,,"5275,3","qm3,5275",40.00,0.00,0,0,0,0,0,0,0,0,40.00
5442,16,18.00,0.00,110.50,0.00,None,None,blue,2.00,"5442,16","qm16,5442",128.50,0.00,0,0,0,0,0,0,0,0,128.50
5442,25,31.00,0.00,0.00,0.00,None,None,red,3.00,"5442,25","qm25,5442",31.00,0.00,0,0,0,0,0,0,0,0,31.00
5442,35,3.00,0.00,12.00,0.00,None,None,red,4.00,"5442,35","qm35,5442",15.00,0.00,0,0,0,0,0,0,0,0,15.00
5442,42,4.00,0.00,83.00,0.00,None,None,red,5.00,"5442,42","qm42,5442",87.00,0.00,0,0,0,0,0,0,0,0,87.00
5557,3,0.00,0.00,30.50,0.00,None,None,blue,1.00,"5442,3","qm3,5442",30.50,0.00,0,0,0,0,0,0,0,0,30.50
5557,10,0.00,0.00,24.00,48.00,None,None,blue,2.00,"5557,10","qm10,5557",24.00,48.00,0,0,0,0,0,0,0,0,24.00
5557,26,2.00,0.00,3.00,0.00,None,None,blue,3.00,"5557,26","qm26,5557",5.00,0.00,0,0,0,0,0,0,0,0,5.00
5557,31,15.00,0.00,12.00,0.00,None,None,red,4.00,"5557,31","qm31,5557",27.00,0.00,0,0,0,0,0,0,0,0,27.00
5557,39,0.00,0.50,0.00,0.00,None,None,red,5.00,"5557,39","qm39,5557",0.00,0.50,0,0,0,0,0,0,0,0,0.00
5557,47,0.00,0.00,0.00,0.00,None,None,red,6.00,"5557,47","qm47,5557",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5576,8,0.00,0.00,0.00,0.00,,,FALSE,,"5557,8","qm8,5557",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5576,17,2.50,0.00,0.00,0.00,None,None,red,2.00,"5576,17","qm17,5576",2.50,0.00,0,0,0,0,0,0,0,0,2.50
5576,24,0.00,0.00,0.00,0.00,None,None,red,3.00,"5576,24","qm24,5576",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5576,35,0.00,0.00,0.00,0.00,None,None,blue,4.00,"5576,35","qm35,5576",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5576,41,0.00,0.00,5.50,6.50,None,None,red,5.00,"5576,41","qm41,5576",5.50,6.50,0,0,0,0,0,0,0,0,5.50
5809,4,41.50,0.00,241.50,0.00,None,None,FALSE,,"5576,4","qm4,5576",283.00,0.00,0,0,0,0,0,0,0,0,283.00
5809,16,12.00,0.00,95.00,10.00,None,None,blue,2.00,"5809,16","qm16,5809",107.00,10.00,0,0,0,0,0,0,0,0,107.00
5809,22,7.00,0.00,167.00,30.00,None,None,red,3.00,"5809,22","qm22,5809",174.00,30.00,0,0,0,0,0,0,0,0,174.00
5809,27,41.00,0.00,246.00,17.00,None,None,blue,4.00,"5809,27","qm27,5809",287.00,17.00,0,0,0,0,0,0,0,0,287.00
5809,39,0.00,0.00,163.00,23.00,None,None,blue,5.00,"5809,39","qm39,5809",163.00,23.00,0,0,0,0,0,0,0,0,163.00
5809,50,27.00,0.00,177.00,0.00,None,None,blue,6.00,"5809,50","qm50,5809",204.00,0.00,0,0,0,0,0,0,0,0,204.00
5837,1,0.00,0.00,27.00,11.00,None,None,FALSE,,"5809,1","qm1,5809",27.00,11.00,0,0,0,0,0,0,0,0,27.00
5837,12,0.00,0.00,36.50,0.00,None,None,red,2.00,"5837,12","qm12,5837",36.50,0.00,0,0,0,0,0,0,0,0,36.50
5837,25,0.00,0.00,20.00,0.00,None,None,red,3.00,"5837,25","qm25,5837",20.00,0.00,0,0,0,0,0,0,0,0,20.00
5837,30,0.00,0.00,31.00,13.00,None,None,blue,4.00,"5837,30","qm30,5837",31.00,13.00,0,0,0,0,0,0,0,0,31.00
5837,39,0.00,0.00,19.00,5.00,None,None,red,5.00,"5837,39","qm39,5837",19.00,5.00,0,0,0,0,0,0,0,0,19.00
5837,45,0.00,0.00,5.00,6.00,None,None,red,6.00,"5837,45","qm45,5837",5.00,6.00,0,0,0,0,0,0,0,0,5.00
5914,8,0.00,0.00,0.00,0.00,,,FALSE,,"5837,8","qm8,5837",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5914,14,0.00,0.00,34.00,0.00,None,None,red,2.00,"5914,14","qm14,5914",34.00,0.00,0,0,0,0,0,0,0,0,34.00
5914,24,0.00,0.00,13.50,10.00,None,None,red,3.00,"5914,24","qm24,5914",13.50,10.00,0,0,0,0,0,0,0,0,13.50
5914,30,0.00,0.00,17.00,0.00,None,None,red,4.00,"5914,30","qm30,5914",17.00,0.00,0,0,0,0,0,0,0,0,17.00
5914,42,0.00,0.00,59.00,23.00,None,None,blue,5.00,"5914,42","qm42,5914",59.00,23.00,0,0,0,0,0,0,0,0,59.00
5914,47,0.00,0.00,1.00,0.00,None,None,blue,6.00,"5914,47","qm47,5914",1.00,0.00,0,0,0,0,0,0,0,0,1.00
5935,7,0.00,0.00,0.00,0.00,,,FALSE,,"5914,7","qm7,5914",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5935,16,0.00,0.00,0.00,0.00,None,None,blue,2.00,"5935,16","qm16,5935",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5935,22,0.00,0.00,0.00,0.00,None,None,blue,3.00,"5935,22","qm22,5935",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5935,30,0.00,0.00,0.00,9.00,None,None,blue,4.00,"5935,30","qm30,5935",0.00,9.00,0,0,0,0,0,0,0,0,0.00
5935,37,0.00,0.00,0.00,0.00,None,None,blue,5.00,"5935,37","qm37,5935",0.00,0.00,0,0,0,0,0,0,0,0,0.00
5935,46,0.00,0.00,1.00,0.00,None,None,red,6.00,"5935,46","qm46,5935",1.00,0.00,0,0,0,0,0,0,0,0,1.00
6147,6,16.00,0.00,79.00,0.00,,,FALSE,,"5935,6","qm6,5935",95.00,0.00,0,0,0,0,0,0,0,0,95.00
6147,12,20.00,0.00,130.00,0.00,None,None,red,2.00,"6147,12","qm12,6147",150.00,0.00,0,0,0,0,0,0,0,0,150.00
6147,19,8.50,0.00,85.00,16.00,None,None,blue,3.00,"6147,19","qm19,6147",93.50,16.00,0,0,0,0,0,0,0,0,93.50
6147,28,25.00,0.00,59.00,0.00,None,None,red,4.00,"6147,28","qm28,6147",84.00,0.00,0,0,0,0,0,0,0,0,84.00
6147,37,20.00,0.00,118.50,8.50,None,None,red,5.00,"6147,37","qm37,6147",138.50,8.50,0,0,0,0,0,0,0,0,138.50
6147,48,20.00,0.00,118.00,0.00,None,None,blue,6.00,"6147,48","qm48,6147",138.00,0.00,0,0,0,0,0,0,0,0,138.00
6419,2,15.00,0.00,132.00,0.00,None,None,FALSE,,"6147,2","qm2,6147",147.00,0.00,0,0,0,0,0,0,0,0,147.00
6419,12,15.50,0.00,163.50,0.50,None,None,blue,2.00,"6419,12","qm12,6419",179.00,0.50,0,0,0,0,0,0,0,0,179.00
6419,20,35.00,0.00,122.00,25.00,None,None,red,3.00,"6419,20","qm20,6419",157.00,25.00,0,0,0,0,0,0,0,0,157.00
6419,32,33.00,0.00,0.00,0.00,None,None,red,4.00,"6419,32","qm32,6419",33.00,0.00,0,0,0,0,0,0,0,0,33.00
6419,42,35.00,0.00,134.00,30.00,None,None,red,5.00,"6419,42","qm42,6419",169.00,30.00,0,0,0,0,0,0,0,0,169.00
6419,50,0.00,0.00,90.00,0.00,None,None,red,6.00,"6419,50","qm50,6419",90.00,0.00,0,0,0,0,0,0,0,0,90.00
6420,1,0.00,0.00,0.00,0.00,None,None,FALSE,,"6419,1","qm1,6419",0.00,0.00,0,0,0,0,0,0,0,0,0.00
6420,11,0.00,0.00,4.00,13.50,None,None,blue,2.00,"6420,11","qm11,6420",4.00,13.50,0,0,0,0,0,0,0,0,4.00
6420,19,0.00,0.00,7.50,13.00,None,None,red,3.00,"6420,19","qm19,6420",7.50,13.00,0,0,0,0,0,0,0,0,7.50
6420,29,2.00,0.00,16.00,18.00,None,None,red,4.00,"6420,29","qm29,6420",18.00,18.00,0,0,0,0,0,0,0,0,18.00
6420,38,0.00,0.00,6.50,2.50,None,None,red,5.00,"6420,38","qm38,6420",6.50,2.50,0,0,0,0,0,0,0,0,6.50
6420,51,0.00,0.00,0.00,0.00,None,None,blue,6.00,"6420,51","qm51,6420",0.00,0.00,0,0,0,0,0,0,0,0,0.00
6455,5,1.00,0.00,0.00,0.00,None,None,FALSE,,"6420,5","qm5,6420",1.00,0.00,0,0,0,0,0,0,0,0,1.00
6455,11,4.00,0.00,0.00,0.00,None,None,red,2.00,"6455,11","qm11,6455",4.00,0.00,0,0,0,0,0,0,0,0,4.00
6455,27,0.00,0.00,0.00,0.00,None,None,blue,3.00,"6455,27","qm27,6455",0.00,0.00,0,0,0,0,0,0,0,0,0.00
6455,32,0.00,0.00,2.00,0.00,None,None,blue,4.00,"6455,32","qm32,6455",2.00,0.00,0,0,0,0,0,0,0,0,2.00
6455,37,0.00,0.00,0.00,0.00,None,None,red,5.00,"6455,37","qm37,6455",0.00,0.00,0,0,0,0,0,0,0,0,0.00
6455,45,0.00,0.00,0.00,12.50,None,None,blue,6.00,"6455,45","qm45,6455",0.00,12.50,0,0,0,0,0,0,0,0,0.00
6805,4,0.00,0.00,0.00,5.00,None,None,FALSE,,"6455,4","qm4,6455",0.00,5.00,0,0,0,0,0,0,0,0,0.00
6805,11,0.00,0.00,0.00,22.00,None,None,red,2.00,"6805,11","qm11,6805",0.00,22.00,0,0,0,0,0,0,0,0,0.00
6805,35,0.00,0.00,0.00,0.00,None,None,blue,3.00,"6805,35","qm35,6805",0.00,0.00,0,0,0,0,0,0,0,0,0.00
6805,42,0.00,0.00,0.00,0.00,None,None,red,4.00,"6805,42","qm42,6805",0.00,0.00,0,0,0,0,0,0,0,0,0.00
6805,49,0.00,0.00,0.00,0.00,None,None,blue,5.00,"6805,49","qm49,6805",0.00,0.00,0,0,0,0,0,0,0,0,0.00
7038,7,0.00,0.00,0.00,0.00,,,FALSE,,"6805,7","qm7,6805",0.00,0.00,0,0,0,0,0,0,0,0,0.00
7038,16,4.00,0.00,3.00,0.00,None,None,red,2.00,"7038,16","qm16,7038",7.00,0.00,0,0,0,0,0,0,0,0,7.00
7038,23,1.00,0.00,9.00,15.00,None,None,blue,3.00,"7038,23","qm23,7038",10.00,15.00,0,0,0,0,0,0,0,0,10.00
7038,29,2.00,0.00,9.00,0.00,None,None,blue,4.00,"7038,29","qm29,7038",11.00,0.00,0,0,0,0,0,0,0,0,11.00
7038,36,4.00,0.00,0.00,0.00,None,None,blue,5.00,"7038,36","qm36,7038",4.00,0.00,0,0,0,0,0,0,0,0,4.00
7038,47,0.00,0.00,3.00,8.50,None,None,red,6.00,"7038,47","qm47,7038",3.00,8.50,0,0,0,0,0,0,0,0,3.00
